antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,antecedents_str,consequents_str
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT', 'HERB MARKER BASIL', 'HERB MARKER PARSLEY', 'HERB MARKER CHIVES'})",frozenset({'HERB MARKER THYME'}),0.008442221863741464,0.012528902511157713,0.008334677636177878,0.9872611464968153,78.79869331073509,1.0,0.008228905861469496,77.51648115287414,0.9957154852704497,0.6595744680851066,0.9870995176106118,0.8262485989994806,5,1,"HERB MARKER ROSEMARY, HERB MARKER MINT, HERB MARKER BASIL, HERB MARKER PARSLEY, HERB MARKER CHIVES",HERB MARKER THYME
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER THYME', 'HERB MARKER MINT'})",frozenset({'HERB MARKER PARSLEY'}),0.00935634779803194,0.012475130397375921,0.009195031456686563,0.9827586206896552,78.77742271105826,1.0,0.009078309797862913,57.27644243695245,0.9966308323596266,0.7276595744680852,0.9825408150811609,0.8599137931034484,3,1,"HERB MARKER CHIVES, HERB MARKER THYME, HERB MARKER MINT",HERB MARKER PARSLEY
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER MINT', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER PARSLEY'}),0.00935634779803194,0.012475130397375921,0.009195031456686563,0.9827586206896552,78.77742271105826,1.0,0.009078309797862913,57.27644243695245,0.9966308323596266,0.7276595744680852,0.9825408150811609,0.8599137931034484,3,1,"HERB MARKER CHIVES, HERB MARKER MINT, HERB MARKER ROSEMARY",HERB MARKER PARSLEY
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER BASIL', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER THYME'}),0.009087487229122978,0.012528902511157713,0.008926170887777599,0.9822485207100591,78.39860832465652,1.0,0.008812314646212526,55.627538491871164,0.9962985216315665,0.7033898305084746,0.9820232922917104,0.8473474363206948,3,1,"HERB MARKER CHIVES, HERB MARKER BASIL, HERB MARKER ROSEMARY",HERB MARKER THYME
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY', 'HERB MARKER THYME', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER PARSLEY'}),0.008926170887777599,0.012475130397375921,0.00876485454643222,0.9819277108433734,78.71081740756127,1.0,0.008653499400657934,54.64304278467819,0.9961874049888608,0.6936170212765956,0.9816994085790479,0.8422569588699624,4,1,"HERB MARKER CHIVES, HERB MARKER ROSEMARY, HERB MARKER THYME, HERB MARKER BASIL",HERB MARKER PARSLEY
"frozenset({'HERB MARKER CHIVES', 'HERB MARKER ROSEMARY', 'HERB MARKER MINT', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER THYME'}),0.008549766091305049,0.012528902511157713,0.008388449749959672,0.9811320754716982,78.30949874483765,1.0,0.008281330564108508,52.33596816690896,0.9957435313357864,0.6610169491525425,0.9808926817440193,0.8253299862337032,4,1,"HERB MARKER CHIVES, HERB MARKER ROSEMARY, HERB MARKER MINT, HERB MARKER BASIL",HERB MARKER THYME
"frozenset({'HERB MARKER MINT', 'HERB MARKER BASIL', 'HERB MARKER THYME', 'HERB MARKER PARSLEY', 'HERB MARKER CHIVES'})",frozenset({'HERB MARKER ROSEMARY'}),0.008495993977523257,0.012582674624939507,0.008334677636177878,0.981012658227848,77.96535215839012,1.0,0.008227775308343257,52.003979136419574,0.9956326789816115,0.6540084388185654,0.9807707022307515,0.8217029103105051,5,1,"HERB MARKER MINT, HERB MARKER BASIL, HERB MARKER THYME, HERB MARKER PARSLEY, HERB MARKER CHIVES",HERB MARKER ROSEMARY
"frozenset({'SKULL SHOULDER BAG', 'JUMBO BAG RED RETROSPOT', 'ROTATING LEAVES T-LIGHT HOLDER'})",frozenset({'SUKI  SHOULDER BAG'}),0.00564607194708824,0.028337903963004785,0.005538527719524655,0.980952380952381,34.61626457034427,1.0,0.005378529874919853,51.01226004194243,0.9766259458301568,0.1947069943289225,0.9803968693177327,0.5881991506279932,3,1,"SKULL SHOULDER BAG, JUMBO BAG RED RETROSPOT, ROTATING LEAVES T-LIGHT HOLDER",SUKI  SHOULDER BAG
"frozenset({'LUNCH BAG  BLACK SKULL.', 'CHARLOTTE BAG SUKI DESIGN', 'LUNCH BAG CARS BLUE', 'STRAWBERRY CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.005538527719524655,0.05517018874011938,0.005430983491961069,0.9805825242718446,17.773775052518022,1.0,0.005125421872332511,48.658735279883594,0.9489933582954923,0.09824902723735407,0.9794487054739909,0.5395115350404057,5,1,"LUNCH BAG  BLACK SKULL., CHARLOTTE BAG SUKI DESIGN, LUNCH BAG CARS BLUE, STRAWBERRY CHARLOTTE BAG, CHARLOTTE BAG PINK POLKADOT",RED RETROSPOT CHARLOTTE BAG
"frozenset({'CHARLOTTE BAG SUKI DESIGN', 'LUNCH BAG CARS BLUE', 'WOODLAND CHARLOTTE BAG', 'STRAWBERRY CHARLOTTE BAG', 'LUNCH BAG SPACEBOY DESIGN'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.005377211378179276,0.05517018874011938,0.0052696671506156905,0.98,17.763216374269003,1.0,0.004973005383986023,47.24149056299399,0.9488058184835269,0.09533073929961089,0.9788321666382107,0.5377582846003899,5,1,"CHARLOTTE BAG SUKI DESIGN, LUNCH BAG CARS BLUE, WOODLAND CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG, LUNCH BAG SPACEBOY DESIGN",RED RETROSPOT CHARLOTTE BAG
